,Name,MC_USD_Billion,MC_EUR_Billion,MC_INR_Billion,MC_GBP_Billion
0,JPMorgan Chase,432.92,402.62,35910.71,346.34
1,Bank of America,231.52,215.31,19204.58,185.22
2,Industrial and Commercial Bank of China,194.56,180.94,16138.75,155.65
3,Agricultural Bank of China,160.68,149.43,13328.41,128.54
4,HDFC Bank,157.91,146.86,13098.63,126.33
5,Wells Fargo,155.87,144.96,12929.42,124.7
6,HSBC Holdings PLC,148.9,138.48,12351.26,119.12
7,Morgan Stanley,140.83,130.97,11681.85,112.66
8,China Construction Bank,139.82,130.03,11598.07,111.86
9,Bank of China,136.81,127.23,11348.39,109.45
